Title: Bunker Lifting List;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Filters:;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Port is in the list P001,P003,P002,P004;;;;;;;;;;;;;;;;;;
Fuel Type is in the list LSF;;;;;;;;;;;;;;;;;;
Delivery Date is in range (01.01.2020 00:00 - 31.01.2025 00:00);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Purchase Status;Requirement ID;Vessel;Voyage No.;Port;Ordered Qty;Fuel Type;Delivery Date;Payment Due Date;Barge Name;Claims;Invoice Price;Invoice No.;Vendor;Supplier;Invoiced Qty;Claim Details;Order Price;Purchase Comments
Invoiced;7423;V003;VOY024;P002;900,50;LSF;27.09.2021;27.10.2021;B113;;532,00;INV00429;VEND021;SUP024;900,54;;532,00;
Invoiced;8088;V003;VOY034;P002;800,54;LSF;11.04.2022;11.05.2022;B135;;875,00;INV00444;VEND021;SUP024;800,54;;875,00;VLSFO reduced fm 1000 to 800, penalty moved to nx vsl
Invoiced;9316;V003;VOY052;P002;900,66;LSF;21.10.2023;20.11.2023;B113;;588,00;INV00480;VEND021;SUP024;900,66;;588,00;
Lifted;10377;V003;VOY070;P001;295,50;LSF;28.01.2025;27.02.2025;B053;;580,00;INV001234;VEND026;SUP028;295,50;;580,00;
Invoiced;8681;V003;VOY039;P002;499,84;LSF;14.01.2023;13.02.2023;B107;;545,00;INV00545;VEND037;SUP040;499,84;;545,00;
Invoiced;9558;V003;VOY053;P002;1 001,20;LSF;24.01.2024;23.02.2024;B195;;572,00;INV00577;VEND037;SUP040;1 001,20;;572,00;GCMS test: High Risk. Valero on notice
Invoiced;8659;V004;VOY040;P003;300,00;LSF;06.12.2022;05.01.2023;B099;;545,25;INV00598;VEND004;SUP003;299,96;;545,25;
Invoiced;7212;V004;VOY023;P003;350,40;LSF;27.06.2021;27.07.2021;B207;;534,75;INV00216;VEND008;SUP009;350,40;;534,75;
Invoiced;7742;V004;VOY027;P003;500,63;LSF;18.12.2021;17.01.2022;B211;;532,50;INV00245;VEND008;SUP009;500,63;;532,50;
Invoiced;7950;V004;VOY034;P003;350,22;LSF;18.02.2022;20.03.2022;B211;;681,50;INV00260;VEND008;SUP009;350,22;;681,50;
Invoiced;8204;V004;VOY036;P003;599,73;LSF;26.05.2022;25.06.2022;B051;;836,00;INV00282;VEND008;SUP009;599,73;;836,00;
Invoiced;5989;V004;VOY009;P004;297,50;LSF;07.05.2020;07.05.2020;B187;;179,75;INV00734;VEND010;SUP012;298,00;;179,75;
Invoiced;6120;V004;VOY011;P004;618,32;LSF;29.06.2020;29.06.2020;B078;;353,86;INV00748;VEND010;SUP012;618,44;;353,86;
Invoiced;7519;V004;VOY026;P003;346,56;LSF;11.10.2021;11.10.2021;B063;;542,00;INV0079;VEND018;SUP022;346,56;;542,00;
Invoiced;9119;V004;VOY048;P002;500,45;LSF;29.07.2023;28.08.2023;B113;;558,00;INV00474;VEND021;SUP024;500,45;;558,00;
Invoiced;5947;V004;VOY009;P001;392,20;LSF;26.04.2020;26.04.2020;B021;;214,00;INV00673;VEND028;SUP030;392,26;;214,00;
Invoiced;6763;V004;VOY021;P004;889,83;LSF;07.02.2021;09.03.2021;B205;;492,00;INV00681;VEND002;SUP035;889,83;;492,00;
Invoiced;8750;V004;VOY041;P002;550,00;LSF;26.01.2023;25.02.2023;B107;;612,00;INV00546;VEND037;SUP040;550,06;;612,00;
Invoiced;8923;V004;VOY047;P002;599,75;LSF;21.04.2023;21.05.2023;B104;;589,00;INV00556;VEND037;SUP040;599,75;;589,00;
Invoiced;9599;V004;VOY058;P002;835,61;LSF;19.02.2024;20.03.2024;B194;;589,00;INV00579;VEND037;SUP040;835,61;;589,00;
Lifted;10341;V005;VOY065;P001;787,50;LSF;02.01.2025;02.01.2025;B005;;544,00;INV00698;VEND001;SUP001;787,50;;544,00;
Invoiced;8599;V005;VOY038;P003;702,80;LSF;25.11.2022;25.12.2022;B101;;626,50;INV00594;VEND004;SUP003;702,80;;626,50;
Invoiced;9110;V005;VOY049;P003;887,22;LSF;12.07.2023;11.08.2023;B099;;538,75;INV00614;VEND004;SUP003;887,22;;538,75;
Invoiced;9389;V005;VOY052;P003;1 020,56;LSF;10.12.2023;09.01.2024;B088;;523,00;INV00635;VEND004;SUP003;1 020,56;;523,00;
Invoiced;8433;V005;VOY036;P004;300,24;LSF;29.08.2022;28.09.2022;B183;;788,00;INV001160;VEND007;SUP008;300,24;;788,00;
Invoiced;6481;V005;VOY013;P003;1 199,40;LSF;09.11.2020;09.12.2020;B211;;329,25;INV00164;VEND008;SUP009;1 200,17;;329,25;
Invoiced;7103;V005;VOY022;P003;550,94;LSF;10.05.2021;09.06.2021;B207;;490,00;INV00201;VEND008;SUP009;550,94;;490,00;
Invoiced;7275;V005;VOY025;P003;999,10;LSF;28.07.2021;27.08.2021;B051;;525,00;INV00222;VEND008;SUP009;999,31;;525,00;
Invoiced;8135;V005;VOY035;P003;1 100,18;LSF;09.07.2022;08.08.2022;B211;;804,25;INV00290;VEND008;SUP009;1 100,18;;804,25;
Invoiced;8797;V005;VOY047;P003;998,96;LSF;27.02.2023;29.03.2023;B006;;568,00;INV00314;VEND008;SUP009;998,96;;568,00;Water level 0,4%
Invoiced;9653;V005;VOY059;P003;1 079,60;LSF;02.03.2024;01.04.2024;B144;;604,25;INV00333;VEND008;SUP009;1 078,39;;604,25;
Invoiced;7782;V005;VOY026;P002;925,20;LSF;16.01.2022;16.01.2022;B110;;594,00;INV001344;VEND009;SUP010;926,10;;594,00;"
"
Lifted;10067;V005;VOY063;P001;866,20;LSF;01.10.2024;31.10.2024;;;610,00;INV001308;VEND039;SUP011;866,20;;610,00;
Invoiced;9817;V005;VOY060;P004;495,90;LSF;27.05.2024;27.05.2024;B078;;619,00;INV001077;VEND010;SUP012;495,87;;619,00;
Invoiced;9906;V005;VOY062;P004;548,50;LSF;19.08.2024;19.08.2024;B057;;577,05;INV001091;VEND010;SUP012;548,50;;577,05;
Lifted;10123;V005;VOY064;P004;699,75;LSF;03.12.2024;03.12.2024;B057;;564,35;INV001115;VEND010;SUP012;699,75;;564,35;
Invoiced;6321;V005;VOY013;P004;559,53;LSF;17.09.2020;17.09.2020;B082;;316,00;INV00775;VEND010;SUP012;559,78;;316,00;
Invoiced;7279;V005;VOY025;P004;298,80;LSF;09.09.2021;09.09.2021;B049;;529,96;INV00872;VEND010;SUP012;298,95;;529,96;
Invoiced;8406;V005;VOY037;P004;797,08;LSF;10.10.2022;10.10.2022;B078;;690,31;INV00932;VEND010;SUP012;797,08;;690,31;
Invoiced;9002;V005;VOY048;P004;749,82;LSF;27.05.2023;27.05.2023;B082;;547,51;INV00983;VEND010;SUP012;749,82;;547,51;
Invoiced;9888;V005;VOY061;P001;958,53;LSF;30.06.2024;30.07.2024;B069;Shortage;610,00;INV0055;VEND012;SUP015;965,96;Vessel received 958.53 while barge say 990. Agreed to 965,956 if no protest letter;610,00;Dispute. Vessel received 958 while barge say 990. Agreed to 965 if no protest letter
Invoiced;9253;V005;VOY050;P001;590,70;LSF;06.09.2023;06.10.2023;B076;;623,00;INV001212;VEND026;SUP028;590,70;;623,00;
Invoiced;5950;V005;VOY010;P001;798,93;LSF;04.05.2020;04.05.2020;B022;;175,00;INV00674;VEND028;SUP030;798,93;;175,00;IR - approved
Invoiced;6926;V005;VOY021;P002;578,07;LSF;21.03.2021;20.04.2021;B194;;499,00;INV00491;VEND037;SUP040;600,10;;499,00;Short lift 22,031 (started with 39,636mt, reduced to 30,451/23,079/22,031)
Invoiced;7783;V006;VOY027;P004;997,72;LSF;03.01.2022;02.02.2022;B183;;582,00;INV001139;VEND007;SUP008;997,72;;582,00;
Invoiced;8319;V006;VOY036;P003;699,62;LSF;11.07.2022;10.08.2022;B051;;799,25;INV00291;VEND008;SUP009;699,62;;799,25;
Invoiced;8500;V006;VOY038;P003;400,45;LSF;08.10.2022;07.11.2022;B211;;667,25;INV00303;VEND008;SUP009;400,45;;667,25;
Invoiced;8886;V006;VOY048;P003;729,60;LSF;29.03.2023;28.04.2023;B140;;553,25;INV00319;VEND008;SUP009;729,60;;553,25;
Invoiced;9520;V006;VOY053;P003;749,37;LSF;28.12.2023;27.01.2024;B208;;555,75;INV00322;VEND008;SUP009;749,37;;555,75;
Invoiced;9674;V006;VOY059;P003;699,34;LSF;16.03.2024;15.04.2024;B208;;608,25;INV00336;VEND008;SUP009;699,34;;608,25;I
Invoiced;5604;V006;VOY008;P004;759,65;LSF;27.01.2020;27.01.2020;B082;;527,66;INV00712;VEND010;SUP012;759,65;;527,66;
Invoiced;5958;V006;VOY010;P004;317,16;LSF;30.04.2020;30.04.2020;B081;;183,78;INV00730;VEND010;SUP012;317,16;;183,78;
Invoiced;6169;V006;VOY012;P004;367,50;LSF;25.07.2020;25.07.2020;B187;;327,60;INV00757;VEND010;SUP012;367,50;;327,60;
Invoiced;6408;V006;VOY014;P004;349,00;LSF;18.10.2020;18.10.2020;B057;;338,05;INV00783;VEND010;SUP012;349,00;;338,05;
Invoiced;6693;V006;VOY021;P004;679,36;LSF;30.01.2021;30.01.2021;B082;;443,71;INV00808;VEND010;SUP012;679,36;;443,71;
Invoiced;6921;V006;VOY023;P004;596,62;LSF;05.05.2021;05.05.2021;B081;;492,30;INV00835;VEND010;SUP012;596,62;;492,30;
Invoiced;5774;V006;VOY009;P001;316,69;LSF;03.03.2020;02.04.2020;B083;;504,50;INV001339;VEND011;SUP014;316,69;;504,50;
Invoiced;6572;V006;VOY015;P001;591,17;LSF;23.12.2020;22.01.2021;B074;;375,00;INV0015;VEND012;SUP015;591,17;;375,00;
Invoiced;6217;V006;VOY013;P001;388,58;LSF;26.08.2020;25.09.2020;B008;;334,00;INV001176;VEND026;SUP028;388,58;;334,00;
Invoiced;7432;V006;VOY025;P002;350,18;LSF;22.09.2021;22.10.2021;B107;;502,00;INV00506;VEND037;SUP040;350,18;;502,00;
Invoiced;8584;V006;VOY038;P002;369,94;LSF;23.11.2022;23.12.2022;B104;;669,00;INV00539;VEND037;SUP040;369,94;;669,00;
Invoiced;9156;V006;VOY051;P002;753,70;LSF;14.08.2023;13.09.2023;B194;;575,50;INV00566;VEND037;SUP040;753,70;;575,50;
Invoiced;9418;V006;VOY053;P002;499,74;LSF;21.11.2023;21.12.2023;B194;;549,00;INV00572;VEND037;SUP040;499,74;;549,00;Vessel adjusted 50mt VLSFO after Miss Rvr call 13 Dec
Invoiced;8513;V007;VOY039;P003;800,30;LSF;30.11.2022;30.12.2022;B099;;651,75;INV00595;VEND004;SUP003;800,30;;651,75;
Invoiced;7809;V007;VOY034;P003;749,47;LSF;17.01.2022;16.02.2022;B051;;645,25;INV00250;VEND008;SUP009;749,47;;645,25;
Invoiced;8077;V007;VOY035;P003;699,17;LSF;07.04.2022;07.05.2022;B211;;773,75;INV00272;VEND008;SUP009;699,17;;773,75;
Invoiced;8344;V007;VOY037;P003;370,10;LSF;09.07.2022;08.08.2022;B051;;804,25;INV00289;VEND008;SUP009;370,42;;804,25;
Invoiced;8752;V007;VOY046;P003;750,45;LSF;14.02.2023;16.03.2023;B207;;598,75;INV00311;VEND008;SUP009;750,45;;598,75;
Invoiced;9773;V007;VOY058;P003;760,08;LSF;30.04.2024;30.05.2024;B140;;596,50;INV00345;VEND008;SUP009;759,21;;596,50;
Lifted;9685;V007;VOY058;P004;1 046,33;LSF;23.03.2024;23.03.2024;B078;;637,83;INV001056;VEND010;SUP012;1 046,33;;637,83;
Invoiced;7127;V007;VOY021;P004;1 081,00;LSF;05.07.2021;05.07.2021;B057;;535,47;INV00851;VEND010;SUP012;1 081,00;;535,47;
Invoiced;7463;V007;VOY023;P001;495,71;LSF;14.09.2021;14.10.2021;B070;;533,50;INV0025;VEND012;SUP015;495,71;;533,50;
Invoiced;7578;V007;VOY024;P004;745,25;LSF;23.10.2021;22.11.2021;B131;;620,00;INV00399;VEND014;SUP018;745,25;;620,00;
Invoiced;8913;V007;VOY048;P003;334,49;LSF;07.05.2023;07.05.2023;B160;;543,00;INV0094;VEND018;SUP022;334,49;;543,00;
Invoiced;7643;V007;VOY025;P001;99,88;LSF;09.11.2021;09.12.2021;B010;;657,00;INV001189;VEND026;SUP028;99,88;;657,00;
Invoiced;9419;V007;VOY053;P001;507,18;LSF;21.11.2023;21.12.2023;B122;;655,00;INV001295;VEND039;SUP042;507,18;;655,00;
Invoiced;9635;V008;VOY059;P001;378,50;LSF;01.03.2024;31.03.2024;B004;;678,00;INV00687;VEND015;SUP001;380,00;;678,00;
Lifted;9911;V008;VOY062;P003;1 006,00;LSF;09.07.2024;08.08.2024;B099;;580,75;INV00637;VEND004;SUP003;1 006,30;;580,75;
Lifted;10342;V008;VOY064;P003;759,19;LSF;06.01.2025;05.02.2025;B059;;543,75;INV00373;VEND008;SUP009;759,19;;518,75;
Invoiced;9250;V008;VOY051;P004;499,00;LSF;23.09.2023;23.09.2023;B057;;684,09;INV001011;VEND010;SUP012;499,00;;684,09;
Lifted;9526;V008;VOY058;P004;750,20;LSF;28.01.2024;28.01.2024;B057;;591,17;INV001039;VEND010;SUP012;749,25;;591,17;
Invoiced;9659;V008;VOY060;P004;748,20;LSF;15.04.2024;15.04.2024;B081;;654,05;INV001065;VEND010;SUP012;748,21;;654,05;
Invoiced;6858;V008;VOY021;P004;398,78;LSF;10.03.2021;10.03.2021;B078;;497,78;INV00814;VEND010;SUP012;400,02;;497,78;
Invoiced;7153;V008;VOY023;P004;599,52;LSF;09.06.2021;09.06.2021;B057;;531,87;INV00844;VEND010;SUP012;599,25;;531,87;
Invoiced;7484;V008;VOY025;P004;749,76;LSF;30.10.2021;30.10.2021;B049;;624,00;INV00883;VEND010;SUP012;749,76;;624,00;
Invoiced;7958;V008;VOY034;P004;1 099,55;LSF;11.03.2022;11.03.2022;B081;;745,49;INV00894;VEND010;SUP012;1 099,55;;745,49;
Invoiced;8245;V008;VOY036;P004;1 049,00;LSF;06.08.2022;06.08.2022;B057;;987,41;INV00917;VEND010;SUP012;1 049,00;;987,41;
Invoiced;7255;V008;VOY024;P001;977,58;LSF;19.07.2021;18.08.2021;B069;;543,50;INV0021;VEND012;SUP015;977,58;;543,50;
Invoiced;9007;V008;VOY048;P001;371,98;LSF;24.05.2023;23.06.2023;B070;;539,50;INV0039;VEND012;SUP015;371,99;;539,50;
Invoiced;9781;V008;VOY061;P001;641,60;LSF;21.05.2024;20.06.2024;B069;;618,00;INV0054;VEND012;SUP015;641,57;;618,00;
Invoiced;8641;V008;VOY040;P003;981,61;LSF;06.12.2022;06.12.2022;B213;;546,00;INV0087;VEND018;SUP022;982,56;;546,00;BP not able to deliver on vsl dates
Invoiced;9051;V008;VOY049;P001;681,17;LSF;02.07.2023;01.08.2023;B010;;586,00;INV001207;VEND026;SUP028;681,17;;586,00;
Invoiced;9139;V008;VOY050;P001;680,00;LSF;08.08.2023;07.09.2023;B024;;570,00;INV001209;VEND026;SUP028;680,00;;570,00;Laycan 1-8 August
Invoiced;7723;V008;VOY026;P004;198,00;LSF;10.12.2021;09.01.2022;B129;;607,00;INV001235;VEND034;SUP037;198,00;;607,00;
Invoiced;6978;V008;VOY022;P001;391,35;LSF;14.04.2021;14.05.2021;B127;;484,00;INV001241;VEND039;SUP042;391,35;;484,00;
Invoiced;8507;V008;VOY038;P001;590,20;LSF;04.10.2022;03.11.2022;B145;;691,50;INV001260;VEND039;SUP042;590,53;;691,50;
Invoiced;9708;V009;VOY059;P001;245,70;LSF;06.04.2024;06.04.2024;B201;;647,00;INV00695;VEND001;SUP001;245,70;;647,00;
Invoiced;8442;V009;VOY036;P003;299,61;LSF;18.08.2022;17.09.2022;B101;;708,00;INV00588;VEND004;SUP003;299,61;;708,00;
Invoiced;5875;V009;VOY009;P003;749,98;LSF;11.03.2020;10.04.2020;B051;;338,25;INV00118;VEND008;SUP009;749,98;;338,25;NO BUNKER QTTY SURVEY
Invoiced;6123;V009;VOY012;P003;400,47;LSF;12.08.2020;11.09.2020;B051;;321,75;INV00144;VEND008;SUP009;400,47;;321,75;
Invoiced;6434;V009;VOY013;P003;399,49;LSF;02.11.2020;02.12.2020;B149;;295,50;INV00163;VEND008;SUP009;399,49;;295,50;
Invoiced;7131;V009;VOY022;P003;1 000,01;LSF;08.06.2021;08.07.2021;B211;;510,00;INV00208;VEND008;SUP009;1 000,01;;510,00;
Invoiced;9201;V009;VOY050;P004;698,50;LSF;22.08.2023;22.08.2023;B057;;653,18;INV001003;VEND010;SUP012;698,50;;653,18;
Invoiced;9644;V009;VOY058;P004;648,86;LSF;29.02.2024;29.02.2024;B081;;630,42;INV001050;VEND010;SUP012;648,86;;630,42;
Invoiced;9855;V009;VOY061;P004;700,00;LSF;14.07.2024;14.07.2024;B057;;648,24;INV001086;VEND010;SUP012;699,25;;648,24;
Lifted;10174;V009;VOY063;P004;655,00;LSF;28.10.2024;28.10.2024;B175;;588,04;INV001106;VEND010;SUP012;648,92;;588,04;Diff. 6,081mt in our favour.
Invoiced;8534;V009;VOY038;P004;749,30;LSF;24.10.2022;24.10.2022;B081;;725,21;INV00934;VEND010;SUP012;749,31;;725,21;
Invoiced;8847;V009;VOY046;P004;699,04;LSF;03.03.2023;03.03.2023;B078;;598,14;INV00955;VEND010;SUP012;699,04;;598,14;
Lifted;9038;V009;VOY048;P004;699,50;LSF;05.06.2023;05.06.2023;B078;;575,84;INV00984;VEND010;SUP012;699,56;;575,84;
Invoiced;8928;V009;VOY047;P001;589,47;LSF;16.04.2023;16.05.2023;B075;;577,17;INV0037;VEND012;SUP015;589,47;;577,17;
Invoiced;9425;V009;VOY052;P001;715,35;LSF;02.12.2023;01.01.2024;B069;;671,50;INV0045;VEND012;SUP015;715,35;;671,50;
Invoiced;7649;V009;VOY025;P003;482,39;LSF;20.11.2021;20.11.2021;B160;;582,00;INV0082;VEND018;SUP022;489,40;;582,00;Shortlifting:VLSFO 7,007| LSGO 8,818
Lifted;9304;V009;VOY051;P001;148,19;LSF;17.10.2023;16.11.2023;B053;;662,00;INV001216;VEND026;SUP028;148,19;;662,00;IR - approved
Invoiced;9852;V009;VOY060;P001;710,94;LSF;02.06.2024;02.07.2024;B024;;585,00;INV001223;VEND026;SUP028;710,94;;585,00;
Invoiced;7750;V009;VOY027;P002;649,60;LSF;05.01.2022;04.02.2022;B107;;540,00;INV00513;VEND037;SUP040;650,53;;540,00;
Invoiced;8624;V009;VOY040;P001;988,98;LSF;19.01.2023;18.02.2023;B161;;598,00;INV001278;VEND039;SUP042;988,98;;598,00;
Invoiced;9058;V009;VOY049;P001;690,30;LSF;07.07.2023;06.08.2023;B126;;562,00;INV001290;VEND039;SUP042;690,32;;562,00;
Invoiced;10011;V009;VOY062;P001;686,00;LSF;30.08.2024;29.09.2024;B127;;594,00;INV001307;VEND039;SUP042;686,16;;594,00;
Lifted;10253;V009;VOY064;P001;577,00;LSF;30.11.2024;30.12.2024;;;547,00;INV001309;VEND039;SUP042;577,24;;547,00;
Invoiced;8067;V009;VOY035;P002;710,00;LSF;24.04.2022;24.04.2022;B027;;822,00;INV001240;VEND017;SUP043;710,00;;822,00;
Invoiced;7557;V009;VOY025;P002;200,56;LSF;21.10.2021;20.11.2021;B041;;560,00;INV001250;VEND040;SUP043;200,56;;560,00;
Lifted;9094;V010;VOY048;P003;899,28;LSF;03.07.2023;02.08.2023;B099;;533,25;INV00615;VEND004;SUP003;899,28;;533,25;
Invoiced;8439;V010;VOY037;P003;1 099,60;LSF;30.08.2022;29.09.2022;B211;;724,00;INV00300;VEND008;SUP009;1 099,63;;724,00;
Lifted;9487;V010;VOY052;P003;399,74;LSF;30.12.2023;29.01.2024;B208;;548,50;INV00323;VEND008;SUP009;399,74;;548,50;
Invoiced;6044;V010;VOY009;P004;1 149,04;LSF;29.07.2020;29.07.2020;B082;;335,50;INV00759;VEND010;SUP012;1 149,04;;335,50;
Invoiced;7264;V010;VOY025;P004;899,75;LSF;05.08.2021;05.08.2021;B057;;544,86;INV00861;VEND010;SUP012;899,75;;544,86;
Invoiced;8551;V010;VOY037;P004;295,93;LSF;11.10.2022;11.10.2022;B078;;740,67;INV00929;VEND010;SUP012;295,93;;740,67;
Invoiced;8633;V010;VOY038;P004;699,25;LSF;25.11.2022;25.11.2022;B056;;677,60;INV00941;VEND010;SUP012;699,25;;677,60;
Invoiced;7921;V010;VOY034;P002;241,10;LSF;11.02.2022;11.02.2022;B045;;650,00;INV001358;VEND016;SUP020;250,00;;650,00;Shortlift 8,2mt VLSFO + 9,2mt LSGO BUT vls adjusted VLFOR ROB up by 15.9mt 18 FEb
Lifted;9412;V010;VOY051;P002;200,00;LSF;22.11.2023;22.11.2023;B196;;554,00;INV001379;VEND016;SUP020;200,00;;554,00;Off spec fuel acc to GCMS test. Monjasa de-bunker and replace w/new bunkers in Hou end Feb 24
Lifted;9870;V010;VOY060;P002;250,40;LSF;12.07.2024;11.08.2024;B134;;590,00;INV00397;VEND021;SUP024;250,33;;590,00;Late arrived invoice, paid as soon as possible
