purchase_status,requirement_id,vessel,voyage_no,port,fuel_type,delivery_date,delivery_month,delivery_year,vendor,supplier,ordered_qty,invoiced_qty,effective_qty,order_price,invoice_price,effective_price,cost_value
Invoiced,7274,V002,VOY023,P004,LSF,2021-07-16,2021-07,2021,VEND010,SUP012,1000.25,1000.25,1000.25,539.47,539.47,539.47,539604.8675
Invoiced,7106,V002,VOY022,P001,LSF,2021-05-16,2021-05,2021,VEND012,SUP015,695.16,695.61,695.61,506.0,506.0,506.0,351978.66000000003
Invoiced,8329,V002,VOY038,P003,LSF,2022-07-19,2022-07,2022,VEND025,SUP027,149.53,149.53,149.53,888.0,888.0,888.0,132782.64
Invoiced,9087,V002,VOY049,P001,LSF,2023-07-07,2023-07,2023,VEND039,SUP042,497.2,497.4,497.4,569.0,568.0,568.0,282523.2
Invoiced,8263,V003,VOY036,P001,LSF,2022-06-17,2022-06,2022,VEND015,SUP001,891.49,891.49,891.49,1048.0,1048.0,1048.0,934281.52
Invoiced,7673,V003,VOY026,P004,LSF,2021-12-25,2021-12,2021,VEND004,SUP003,797.67,797.67,797.67,593.0,593.0,593.0,473018.31
Invoiced,8972,V003,VOY049,P003,LSF,2023-05-29,2023-05,2023,VEND004,SUP003,1022.07,1022.07,1022.07,505.75,505.75,505.75,516911.9025
Invoiced,9197,V003,VOY051,P003,LSF,2023-09-08,2023-09,2023,VEND004,SUP003,593.0,593.0,593.0,611.75,611.75,611.75,362767.75
Invoiced,8397,V003,VOY037,P004,LSF,2022-08-09,2022-08,2022,VEND007,SUP008,548.87,548.88,548.88,895.0,895.0,895.0,491247.6
Invoiced,5698,V003,VOY002,P003,LSF,2020-01-14,2020-01,2020,VEND008,SUP009,999.92,999.32,999.32,543.75,543.75,543.75,543380.25
Invoiced,5985,V003,VOY009,P003,LSF,2020-05-17,2020-05,2020,VEND008,SUP009,749.6,749.69,749.69,223.25,223.25,223.25,167368.2925
Invoiced,7385,V003,VOY024,P003,LSF,2021-08-19,2021-08,2021,VEND008,SUP009,500.35,500.35,500.35,493.5,493.5,493.5,246922.725
Invoiced,7913,V003,VOY034,P003,LSF,2022-02-15,2022-02,2022,VEND008,SUP009,600.19,600.19,600.19,676.0,676.0,676.0,405728.44000000006
Invoiced,8795,V003,VOY046,P003,LSF,2023-02-20,2023-02,2023,VEND008,SUP009,931.0,931.0,931.0,574.75,574.75,574.75,535092.25
Invoiced,10147,V003,VOY062,P003,LSF,2024-10-05,2024-10,2024,VEND008,SUP009,1000.11,998.99,998.99,550.0,550.0,550.0,549444.5
Invoiced,9576,V003,VOY058,P004,LSF,2024-04-02,2024-04,2024,VEND010,SUP012,498.09,498.09,498.09,645.81,645.81,645.81,321671.50289999996
Invoiced,9807,V003,VOY059,P004,LSF,2024-05-12,2024-05,2024,VEND010,SUP012,1093.24,1093.24,1093.24,627.91,627.91,627.91,686456.3284
Invoiced,9931,V003,VOY061,P004,LSF,2024-07-08,2024-07,2024,VEND010,SUP012,547.94,547.94,547.94,631.56,631.56,631.56,346056.9864
Invoiced,10050,V003,VOY062,P004,LSF,2024-08-26,2024-08,2024,VEND010,SUP012,1099.07,1099.07,1099.07,599.05,599.05,599.05,658397.8834999999
Lifted,10354,V003,VOY063,P004,LSF,2024-12-29,2024-12,2024,VEND010,SUP012,499.0,499.0,499.0,556.21,556.21,556.21,277548.79000000004
Invoiced,5849,V003,VOY009,P004,LSF,2020-04-05,2020-04,2020,VEND010,SUP012,827.5,827.39,827.39,265.43,265.43,265.43,219614.1277
Invoiced,6351,V003,VOY012,P004,LSF,2020-09-26,2020-09,2020,VEND010,SUP012,999.9,999.9,999.9,329.21,329.21,329.21,329177.07899999997
Invoiced,6938,V003,VOY022,P004,LSF,2021-04-13,2021-04,2021,VEND010,SUP012,698.59,698.59,698.59,481.98,481.98,481.98,336706.4082
Invoiced,8514,V003,VOY038,P004,LSF,2022-10-05,2022-10,2022,VEND010,SUP012,245.99,245.99,245.99,697.41,697.41,697.41,171555.8859
Invoiced,7083,V003,VOY023,P001,LSF,2021-05-17,2021-05,2021,VEND012,SUP015,585.79,585.79,585.79,513.0,513.0,513.0,300510.26999999996
Invoiced,7423,V003,VOY024,P002,LSF,2021-09-27,2021-09,2021,VEND021,SUP024,900.5,900.54,900.54,532.0,532.0,532.0,479087.27999999997
Invoiced,8088,V003,VOY034,P002,LSF,2022-04-11,2022-04,2022,VEND021,SUP024,800.54,800.54,800.54,875.0,875.0,875.0,700472.5
Invoiced,9316,V003,VOY052,P002,LSF,2023-10-21,2023-10,2023,VEND021,SUP024,900.66,900.66,900.66,588.0,588.0,588.0,529588.08
Lifted,10377,V003,VOY070,P001,LSF,2025-01-28,2025-01,2025,VEND026,SUP028,295.5,295.5,295.5,580.0,580.0,580.0,171390.0
Invoiced,8681,V003,VOY039,P002,LSF,2023-01-14,2023-01,2023,VEND037,SUP040,499.84,499.84,499.84,545.0,545.0,545.0,272412.8
Invoiced,9558,V003,VOY053,P002,LSF,2024-01-24,2024-01,2024,VEND037,SUP040,1001.2,1001.2,1001.2,572.0,572.0,572.0,572686.4
Invoiced,8659,V004,VOY040,P003,LSF,2022-12-06,2022-12,2022,VEND004,SUP003,300.0,299.96,299.96,545.25,545.25,545.25,163553.19
Invoiced,7212,V004,VOY023,P003,LSF,2021-06-27,2021-06,2021,VEND008,SUP009,350.4,350.4,350.4,534.75,534.75,534.75,187376.4
Invoiced,7742,V004,VOY027,P003,LSF,2021-12-18,2021-12,2021,VEND008,SUP009,500.63,500.63,500.63,532.5,532.5,532.5,266585.475
Invoiced,7950,V004,VOY034,P003,LSF,2022-02-18,2022-02,2022,VEND008,SUP009,350.22,350.22,350.22,681.5,681.5,681.5,238674.93000000002
Invoiced,8204,V004,VOY036,P003,LSF,2022-05-26,2022-05,2022,VEND008,SUP009,599.73,599.73,599.73,836.0,836.0,836.0,501374.28
Invoiced,5989,V004,VOY009,P004,LSF,2020-05-07,2020-05,2020,VEND010,SUP012,297.5,298.0,298.0,179.75,179.75,179.75,53565.5
Invoiced,6120,V004,VOY011,P004,LSF,2020-06-29,2020-06,2020,VEND010,SUP012,618.32,618.44,618.44,353.86,353.86,353.86,218841.17840000003
Invoiced,7519,V004,VOY026,P003,LSF,2021-10-11,2021-10,2021,VEND018,SUP022,346.56,346.56,346.56,542.0,542.0,542.0,187835.52
Invoiced,9119,V004,VOY048,P002,LSF,2023-07-29,2023-07,2023,VEND021,SUP024,500.45,500.45,500.45,558.0,558.0,558.0,279251.1
Invoiced,5947,V004,VOY009,P001,LSF,2020-04-26,2020-04,2020,VEND028,SUP030,392.2,392.26,392.26,214.0,214.0,214.0,83943.64
Invoiced,6763,V004,VOY021,P004,LSF,2021-02-07,2021-02,2021,VEND002,SUP035,889.83,889.83,889.83,492.0,492.0,492.0,437796.36000000004
Invoiced,8750,V004,VOY041,P002,LSF,2023-01-26,2023-01,2023,VEND037,SUP040,550.0,550.06,550.06,612.0,612.0,612.0,336636.72
Invoiced,8923,V004,VOY047,P002,LSF,2023-04-21,2023-04,2023,VEND037,SUP040,599.75,599.75,599.75,589.0,589.0,589.0,353252.75
Invoiced,9599,V004,VOY058,P002,LSF,2024-02-19,2024-02,2024,VEND037,SUP040,835.61,835.61,835.61,589.0,589.0,589.0,492174.29
Lifted,10341,V005,VOY065,P001,LSF,2025-01-02,2025-01,2025,VEND001,SUP001,787.5,787.5,787.5,544.0,544.0,544.0,428400.0
Invoiced,8599,V005,VOY038,P003,LSF,2022-11-25,2022-11,2022,VEND004,SUP003,702.8,702.8,702.8,626.5,626.5,626.5,440304.19999999995
Invoiced,9110,V005,VOY049,P003,LSF,2023-07-12,2023-07,2023,VEND004,SUP003,887.22,887.22,887.22,538.75,538.75,538.75,477989.775
Invoiced,9389,V005,VOY052,P003,LSF,2023-12-10,2023-12,2023,VEND004,SUP003,1020.56,1020.56,1020.56,523.0,523.0,523.0,533752.88
Invoiced,8433,V005,VOY036,P004,LSF,2022-08-29,2022-08,2022,VEND007,SUP008,300.24,300.24,300.24,788.0,788.0,788.0,236589.12
Invoiced,6481,V005,VOY013,P003,LSF,2020-11-09,2020-11,2020,VEND008,SUP009,1199.4,1200.17,1200.17,329.25,329.25,329.25,395155.97250000003
Invoiced,7103,V005,VOY022,P003,LSF,2021-05-10,2021-05,2021,VEND008,SUP009,550.94,550.94,550.94,490.0,490.0,490.0,269960.60000000003
Invoiced,7275,V005,VOY025,P003,LSF,2021-07-28,2021-07,2021,VEND008,SUP009,999.1,999.31,999.31,525.0,525.0,525.0,524637.75
Invoiced,8135,V005,VOY035,P003,LSF,2022-07-09,2022-07,2022,VEND008,SUP009,1100.18,1100.18,1100.18,804.25,804.25,804.25,884819.765
Invoiced,8797,V005,VOY047,P003,LSF,2023-02-27,2023-02,2023,VEND008,SUP009,998.96,998.96,998.96,568.0,568.0,568.0,567409.28
Invoiced,9653,V005,VOY059,P003,LSF,2024-03-02,2024-03,2024,VEND008,SUP009,1079.6,1078.39,1078.39,604.25,604.25,604.25,651617.1575000001
Invoiced,7782,V005,VOY026,P002,LSF,2022-01-16,2022-01,2022,VEND009,SUP010,925.2,926.1,926.1,594.0,594.0,594.0,550103.4
Lifted,10067,V005,VOY063,P001,LSF,2024-10-01,2024-10,2024,VEND039,SUP011,866.2,866.2,866.2,610.0,610.0,610.0,528382.0
Invoiced,9817,V005,VOY060,P004,LSF,2024-05-27,2024-05,2024,VEND010,SUP012,495.9,495.87,495.87,619.0,619.0,619.0,306943.53
Invoiced,9906,V005,VOY062,P004,LSF,2024-08-19,2024-08,2024,VEND010,SUP012,548.5,548.5,548.5,577.05,577.05,577.05,316511.925
Lifted,10123,V005,VOY064,P004,LSF,2024-12-03,2024-12,2024,VEND010,SUP012,699.75,699.75,699.75,564.35,564.35,564.35,394903.91250000003
Invoiced,6321,V005,VOY013,P004,LSF,2020-09-17,2020-09,2020,VEND010,SUP012,559.53,559.78,559.78,316.0,316.0,316.0,176890.47999999998
Invoiced,7279,V005,VOY025,P004,LSF,2021-09-09,2021-09,2021,VEND010,SUP012,298.8,298.95,298.95,529.96,529.96,529.96,158431.54200000002
Invoiced,8406,V005,VOY037,P004,LSF,2022-10-10,2022-10,2022,VEND010,SUP012,797.08,797.08,797.08,690.31,690.31,690.31,550232.2948
Invoiced,9002,V005,VOY048,P004,LSF,2023-05-27,2023-05,2023,VEND010,SUP012,749.82,749.82,749.82,547.51,547.51,547.51,410533.94820000004
Invoiced,9888,V005,VOY061,P001,LSF,2024-06-30,2024-06,2024,VEND012,SUP015,958.53,965.96,965.96,610.0,610.0,610.0,589235.6
Invoiced,9253,V005,VOY050,P001,LSF,2023-09-06,2023-09,2023,VEND026,SUP028,590.7,590.7,590.7,623.0,623.0,623.0,368006.10000000003
Invoiced,5950,V005,VOY010,P001,LSF,2020-05-04,2020-05,2020,VEND028,SUP030,798.93,798.93,798.93,175.0,175.0,175.0,139812.75
Invoiced,6926,V005,VOY021,P002,LSF,2021-03-21,2021-03,2021,VEND037,SUP040,578.07,600.1,600.1,499.0,499.0,499.0,299449.9
Invoiced,7783,V006,VOY027,P004,LSF,2022-01-03,2022-01,2022,VEND007,SUP008,997.72,997.72,997.72,582.0,582.0,582.0,580673.04
Invoiced,8319,V006,VOY036,P003,LSF,2022-07-11,2022-07,2022,VEND008,SUP009,699.62,699.62,699.62,799.25,799.25,799.25,559171.285
Invoiced,8500,V006,VOY038,P003,LSF,2022-10-08,2022-10,2022,VEND008,SUP009,400.45,400.45,400.45,667.25,667.25,667.25,267200.2625
Invoiced,8886,V006,VOY048,P003,LSF,2023-03-29,2023-03,2023,VEND008,SUP009,729.6,729.6,729.6,553.25,553.25,553.25,403651.2
Invoiced,9520,V006,VOY053,P003,LSF,2023-12-28,2023-12,2023,VEND008,SUP009,749.37,749.37,749.37,555.75,555.75,555.75,416462.3775
Invoiced,9674,V006,VOY059,P003,LSF,2024-03-16,2024-03,2024,VEND008,SUP009,699.34,699.34,699.34,608.25,608.25,608.25,425373.555
Invoiced,5604,V006,VOY008,P004,LSF,2020-01-27,2020-01,2020,VEND010,SUP012,759.65,759.65,759.65,527.66,527.66,527.66,400836.91899999994
Invoiced,5958,V006,VOY010,P004,LSF,2020-04-30,2020-04,2020,VEND010,SUP012,317.16,317.16,317.16,183.78,183.78,183.78,58287.664800000006
Invoiced,6169,V006,VOY012,P004,LSF,2020-07-25,2020-07,2020,VEND010,SUP012,367.5,367.5,367.5,327.6,327.6,327.6,120393.00000000001
Invoiced,6408,V006,VOY014,P004,LSF,2020-10-18,2020-10,2020,VEND010,SUP012,349.0,349.0,349.0,338.05,338.05,338.05,117979.45
Invoiced,6693,V006,VOY021,P004,LSF,2021-01-30,2021-01,2021,VEND010,SUP012,679.36,679.36,679.36,443.71,443.71,443.71,301438.8256
Invoiced,6921,V006,VOY023,P004,LSF,2021-05-05,2021-05,2021,VEND010,SUP012,596.62,596.62,596.62,492.3,492.3,492.3,293716.026
Invoiced,5774,V006,VOY009,P001,LSF,2020-03-03,2020-03,2020,VEND011,SUP014,316.69,316.69,316.69,504.5,504.5,504.5,159770.105
Invoiced,6572,V006,VOY015,P001,LSF,2020-12-23,2020-12,2020,VEND012,SUP015,591.17,591.17,591.17,375.0,375.0,375.0,221688.74999999997
Invoiced,6217,V006,VOY013,P001,LSF,2020-08-26,2020-08,2020,VEND026,SUP028,388.58,388.58,388.58,334.0,334.0,334.0,129785.72
Invoiced,7432,V006,VOY025,P002,LSF,2021-09-22,2021-09,2021,VEND037,SUP040,350.18,350.18,350.18,502.0,502.0,502.0,175790.36000000002
Invoiced,8584,V006,VOY038,P002,LSF,2022-11-23,2022-11,2022,VEND037,SUP040,369.94,369.94,369.94,669.0,669.0,669.0,247489.86
Invoiced,9156,V006,VOY051,P002,LSF,2023-08-14,2023-08,2023,VEND037,SUP040,753.7,753.7,753.7,575.5,575.5,575.5,433754.35000000003
Invoiced,9418,V006,VOY053,P002,LSF,2023-11-21,2023-11,2023,VEND037,SUP040,499.74,499.74,499.74,549.0,549.0,549.0,274357.26
Invoiced,8513,V007,VOY039,P003,LSF,2022-11-30,2022-11,2022,VEND004,SUP003,800.3,800.3,800.3,651.75,651.75,651.75,521595.52499999997
Invoiced,7809,V007,VOY034,P003,LSF,2022-01-17,2022-01,2022,VEND008,SUP009,749.47,749.47,749.47,645.25,645.25,645.25,483595.5175
Invoiced,8077,V007,VOY035,P003,LSF,2022-04-07,2022-04,2022,VEND008,SUP009,699.17,699.17,699.17,773.75,773.75,773.75,540982.7875
Invoiced,8344,V007,VOY037,P003,LSF,2022-07-09,2022-07,2022,VEND008,SUP009,370.1,370.42,370.42,804.25,804.25,804.25,297910.28500000003
Invoiced,8752,V007,VOY046,P003,LSF,2023-02-14,2023-02,2023,VEND008,SUP009,750.45,750.45,750.45,598.75,598.75,598.75,449331.9375
Invoiced,9773,V007,VOY058,P003,LSF,2024-04-30,2024-04,2024,VEND008,SUP009,760.08,759.21,759.21,596.5,596.5,596.5,452868.765
Lifted,9685,V007,VOY058,P004,LSF,2024-03-23,2024-03,2024,VEND010,SUP012,1046.33,1046.33,1046.33,637.83,637.83,637.83,667380.6639
Invoiced,7127,V007,VOY021,P004,LSF,2021-07-05,2021-07,2021,VEND010,SUP012,1081.0,1081.0,1081.0,535.47,535.47,535.47,578843.0700000001
Invoiced,7463,V007,VOY023,P001,LSF,2021-09-14,2021-09,2021,VEND012,SUP015,495.71,495.71,495.71,533.5,533.5,533.5,264461.285
Invoiced,7578,V007,VOY024,P004,LSF,2021-10-23,2021-10,2021,VEND014,SUP018,745.25,745.25,745.25,620.0,620.0,620.0,462055.0
Invoiced,8913,V007,VOY048,P003,LSF,2023-05-07,2023-05,2023,VEND018,SUP022,334.49,334.49,334.49,543.0,543.0,543.0,181628.07
Invoiced,7643,V007,VOY025,P001,LSF,2021-11-09,2021-11,2021,VEND026,SUP028,99.88,99.88,99.88,657.0,657.0,657.0,65621.16
Invoiced,9419,V007,VOY053,P001,LSF,2023-11-21,2023-11,2023,VEND039,SUP042,507.18,507.18,507.18,655.0,655.0,655.0,332202.9
Invoiced,9635,V008,VOY059,P001,LSF,2024-03-01,2024-03,2024,VEND015,SUP001,378.5,380.0,380.0,678.0,678.0,678.0,257640.0
Lifted,9911,V008,VOY062,P003,LSF,2024-07-09,2024-07,2024,VEND004,SUP003,1006.0,1006.3,1006.3,580.75,580.75,580.75,584408.725
Lifted,10342,V008,VOY064,P003,LSF,2025-01-06,2025-01,2025,VEND008,SUP009,759.19,759.19,759.19,518.75,543.75,543.75,412809.56250000006
Invoiced,9250,V008,VOY051,P004,LSF,2023-09-23,2023-09,2023,VEND010,SUP012,499.0,499.0,499.0,684.09,684.09,684.09,341360.91000000003
Lifted,9526,V008,VOY058,P004,LSF,2024-01-28,2024-01,2024,VEND010,SUP012,750.2,749.25,749.25,591.17,591.17,591.17,442934.1225
Invoiced,9659,V008,VOY060,P004,LSF,2024-04-15,2024-04,2024,VEND010,SUP012,748.2,748.21,748.21,654.05,654.05,654.05,489366.75049999997
Invoiced,6858,V008,VOY021,P004,LSF,2021-03-10,2021-03,2021,VEND010,SUP012,398.78,400.02,400.02,497.78,497.78,497.78,199121.9556
Invoiced,7153,V008,VOY023,P004,LSF,2021-06-09,2021-06,2021,VEND010,SUP012,599.52,599.25,599.25,531.87,531.87,531.87,318723.0975
Invoiced,7484,V008,VOY025,P004,LSF,2021-10-30,2021-10,2021,VEND010,SUP012,749.76,749.76,749.76,624.0,624.0,624.0,467850.24
Invoiced,7958,V008,VOY034,P004,LSF,2022-03-11,2022-03,2022,VEND010,SUP012,1099.55,1099.55,1099.55,745.49,745.49,745.49,819703.5295
Invoiced,8245,V008,VOY036,P004,LSF,2022-08-06,2022-08,2022,VEND010,SUP012,1049.0,1049.0,1049.0,987.41,987.41,987.41,1035793.09
Invoiced,7255,V008,VOY024,P001,LSF,2021-07-19,2021-07,2021,VEND012,SUP015,977.58,977.58,977.58,543.5,543.5,543.5,531314.73
Invoiced,9007,V008,VOY048,P001,LSF,2023-05-24,2023-05,2023,VEND012,SUP015,371.98,371.99,371.99,539.5,539.5,539.5,200688.605
Invoiced,9781,V008,VOY061,P001,LSF,2024-05-21,2024-05,2024,VEND012,SUP015,641.6,641.57,641.57,618.0,618.0,618.0,396490.26
Invoiced,8641,V008,VOY040,P003,LSF,2022-12-06,2022-12,2022,VEND018,SUP022,981.61,982.56,982.56,546.0,546.0,546.0,536477.76
Invoiced,9051,V008,VOY049,P001,LSF,2023-07-02,2023-07,2023,VEND026,SUP028,681.17,681.17,681.17,586.0,586.0,586.0,399165.62
Invoiced,9139,V008,VOY050,P001,LSF,2023-08-08,2023-08,2023,VEND026,SUP028,680.0,680.0,680.0,570.0,570.0,570.0,387600.0
Invoiced,7723,V008,VOY026,P004,LSF,2021-12-10,2021-12,2021,VEND034,SUP037,198.0,198.0,198.0,607.0,607.0,607.0,120186.0
Invoiced,6978,V008,VOY022,P001,LSF,2021-04-14,2021-04,2021,VEND039,SUP042,391.35,391.35,391.35,484.0,484.0,484.0,189413.40000000002
Invoiced,8507,V008,VOY038,P001,LSF,2022-10-04,2022-10,2022,VEND039,SUP042,590.2,590.53,590.53,691.5,691.5,691.5,408351.495
Invoiced,9708,V009,VOY059,P001,LSF,2024-04-06,2024-04,2024,VEND001,SUP001,245.7,245.7,245.7,647.0,647.0,647.0,158967.9
Invoiced,8442,V009,VOY036,P003,LSF,2022-08-18,2022-08,2022,VEND004,SUP003,299.61,299.61,299.61,708.0,708.0,708.0,212123.88
Invoiced,5875,V009,VOY009,P003,LSF,2020-03-11,2020-03,2020,VEND008,SUP009,749.98,749.98,749.98,338.25,338.25,338.25,253680.73500000002
Invoiced,6123,V009,VOY012,P003,LSF,2020-08-12,2020-08,2020,VEND008,SUP009,400.47,400.47,400.47,321.75,321.75,321.75,128851.2225
Invoiced,6434,V009,VOY013,P003,LSF,2020-11-02,2020-11,2020,VEND008,SUP009,399.49,399.49,399.49,295.5,295.5,295.5,118049.295
Invoiced,7131,V009,VOY022,P003,LSF,2021-06-08,2021-06,2021,VEND008,SUP009,1000.01,1000.01,1000.01,510.0,510.0,510.0,510005.1
Invoiced,9201,V009,VOY050,P004,LSF,2023-08-22,2023-08,2023,VEND010,SUP012,698.5,698.5,698.5,653.18,653.18,653.18,456246.23
Invoiced,9644,V009,VOY058,P004,LSF,2024-02-29,2024-02,2024,VEND010,SUP012,648.86,648.86,648.86,630.42,630.42,630.42,409054.3212
Invoiced,9855,V009,VOY061,P004,LSF,2024-07-14,2024-07,2024,VEND010,SUP012,700.0,699.25,699.25,648.24,648.24,648.24,453281.82
Lifted,10174,V009,VOY063,P004,LSF,2024-10-28,2024-10,2024,VEND010,SUP012,655.0,648.92,648.92,588.04,588.04,588.04,381590.91679999995
Invoiced,8534,V009,VOY038,P004,LSF,2022-10-24,2022-10,2022,VEND010,SUP012,749.3,749.31,749.31,725.21,725.21,725.21,543407.1051
Invoiced,8847,V009,VOY046,P004,LSF,2023-03-03,2023-03,2023,VEND010,SUP012,699.04,699.04,699.04,598.14,598.14,598.14,418123.78559999994
Lifted,9038,V009,VOY048,P004,LSF,2023-06-05,2023-06,2023,VEND010,SUP012,699.5,699.56,699.56,575.84,575.84,575.84,402834.63039999997
Invoiced,8928,V009,VOY047,P001,LSF,2023-04-16,2023-04,2023,VEND012,SUP015,589.47,589.47,589.47,577.17,577.17,577.17,340224.3999
Invoiced,9425,V009,VOY052,P001,LSF,2023-12-02,2023-12,2023,VEND012,SUP015,715.35,715.35,715.35,671.5,671.5,671.5,480357.525
Invoiced,7649,V009,VOY025,P003,LSF,2021-11-20,2021-11,2021,VEND018,SUP022,482.39,489.4,489.4,582.0,582.0,582.0,284830.8
Lifted,9304,V009,VOY051,P001,LSF,2023-10-17,2023-10,2023,VEND026,SUP028,148.19,148.19,148.19,662.0,662.0,662.0,98101.78
Invoiced,9852,V009,VOY060,P001,LSF,2024-06-02,2024-06,2024,VEND026,SUP028,710.94,710.94,710.94,585.0,585.0,585.0,415899.9
Invoiced,7750,V009,VOY027,P002,LSF,2022-01-05,2022-01,2022,VEND037,SUP040,649.6,650.53,650.53,540.0,540.0,540.0,351286.2
Invoiced,8624,V009,VOY040,P001,LSF,2023-01-19,2023-01,2023,VEND039,SUP042,988.98,988.98,988.98,598.0,598.0,598.0,591410.04
Invoiced,9058,V009,VOY049,P001,LSF,2023-07-07,2023-07,2023,VEND039,SUP042,690.3,690.32,690.32,562.0,562.0,562.0,387959.84
Invoiced,10011,V009,VOY062,P001,LSF,2024-08-30,2024-08,2024,VEND039,SUP042,686.0,686.16,686.16,594.0,594.0,594.0,407579.04
Lifted,10253,V009,VOY064,P001,LSF,2024-11-30,2024-11,2024,VEND039,SUP042,577.0,577.24,577.24,547.0,547.0,547.0,315750.28
Invoiced,8067,V009,VOY035,P002,LSF,2022-04-24,2022-04,2022,VEND017,SUP043,710.0,710.0,710.0,822.0,822.0,822.0,583620.0
Invoiced,7557,V009,VOY025,P002,LSF,2021-10-21,2021-10,2021,VEND040,SUP043,200.56,200.56,200.56,560.0,560.0,560.0,112313.6
Lifted,9094,V010,VOY048,P003,LSF,2023-07-03,2023-07,2023,VEND004,SUP003,899.28,899.28,899.28,533.25,533.25,533.25,479541.06
Invoiced,8439,V010,VOY037,P003,LSF,2022-08-30,2022-08,2022,VEND008,SUP009,1099.6,1099.63,1099.63,724.0,724.0,724.0,796132.1200000001
Lifted,9487,V010,VOY052,P003,LSF,2023-12-30,2023-12,2023,VEND008,SUP009,399.74,399.74,399.74,548.5,548.5,548.5,219257.39
Invoiced,6044,V010,VOY009,P004,LSF,2020-07-29,2020-07,2020,VEND010,SUP012,1149.04,1149.04,1149.04,335.5,335.5,335.5,385502.92
Invoiced,7264,V010,VOY025,P004,LSF,2021-08-05,2021-08,2021,VEND010,SUP012,899.75,899.75,899.75,544.86,544.86,544.86,490237.78500000003
Invoiced,8551,V010,VOY037,P004,LSF,2022-10-11,2022-10,2022,VEND010,SUP012,295.93,295.93,295.93,740.67,740.67,740.67,219186.4731
Invoiced,8633,V010,VOY038,P004,LSF,2022-11-25,2022-11,2022,VEND010,SUP012,699.25,699.25,699.25,677.6,677.6,677.6,473811.8
Invoiced,7921,V010,VOY034,P002,LSF,2022-02-11,2022-02,2022,VEND016,SUP020,241.1,250.0,250.0,650.0,650.0,650.0,162500.0
Lifted,9412,V010,VOY051,P002,LSF,2023-11-22,2023-11,2023,VEND016,SUP020,200.0,200.0,200.0,554.0,554.0,554.0,110800.0
Lifted,9870,V010,VOY060,P002,LSF,2024-07-12,2024-07,2024,VEND021,SUP024,250.4,250.33,250.33,590.0,590.0,590.0,147694.7
Invoiced,8756,V010,VOY046,P002,LSF,2023-03-02,2023-03,2023,VEND021,SUP024,1251.0,1250.95,1250.95,625.0,625.0,625.0,781843.75
Invoiced,9145,V010,VOY049,P002,LSF,2023-08-12,2023-08,2023,VEND021,SUP024,430.27,430.27,430.27,558.0,558.0,558.0,240090.66
Invoiced,9645,V010,VOY058,P002,LSF,2024-03-19,2024-03,2024,VEND032,SUP040,654.01,654.01,654.01,655.03,655.03,655.03,428396.1703
Invoiced,6952,V010,VOY024,P002,LSF,2021-04-30,2021-04,2021,VEND037,SUP040,199.6,200.01,200.01,461.0,461.0,461.0,92204.61
